academick,academic
hypogastrick,hypogastric
hypothetick,hypothetic
hysterick,hysteric
iambick,iambic
iatroleptick,iatroleptic
identick,identic
idiomatick,idiomatic
impolitick,impolitic
imposeable,imposable
inferiour,inferior
intercessour,intercessor
interiour,interior
intrinsick,intrinsic
irreproveable,irreprovable
isabellacolour,isabellacolor
ischiadick,ischiadic
ischuretick,ischuretic
labour,labor
lacklustre,lackluster
laconick,laconic
lapidifick,lapidific
lawlesly,lawlessly
lethargick,lethargic
leucophlegmatick,leucophlegmatic
lienterick,lienteric
lifelesly,lifelessly
liplabour,liplabor
listlesly,listlessly
listlesness,listlessness
listner,listener
lithontriptick,lithontriptic
livercolour,livercolor
logick,logic
loseable,losable
loxodromick,loxodromic
lubrick,lubric
lucifick,lucific
lucrifick,lucrific
lunatick,lunatic
lustre,luster
lymphatick,lymphatic
lyrick,lyric
magick,magic
magnetick,magnetic
magnifick,magnific
mainprise,mainprize
majestick,majestic
marcour,marcor
mathematick,mathematic
maugre,mauger
mechanick,mechanic
medallick,medallic
melancholick,melancholic
mesenterick,mesenteric
meseraick,meseraic
mespise,mespize
metallick,metallic
metaphorick,metaphoric
metaphysick,metaphysic
methodise,methodize
metre,meter
microscopick,microscopic
misbehaviour,misbehavior
mitre,miter
modernise,modernize
monarchise,monarchize
morbifick,morbific
mosaick,mosaic
mostick,mostic
mouldable,moldable
moulder,molder
mouldiness,moldiness
moulding,molding
mouldwarp,moldwarp
mouldy,moldy
mouthhonour,mouthhonor
moveable,movable
moveably,movably
mundick,mundic
muriatick,muriatic
musick,music
mystick,mystic
narcotick,narcotic
nautick,nautic
neckcloath,neckcloth
needlesly,needlessly
neighbour,neighbor
neoterick,neoteric
nephritick,nephritic
nitre,niter
nosopoetick,nosopoetic
obstetrick,obstetric
oceanick,oceanic
ochre,ocher
odontalgick,odontalgic
odour,odor
offence,offense
oilcolour,oilcolor
omnifick,omnific
omphaloptick,omphaloptic
oneirocritick,oneirocritic
ophthalmick,ophthalmic
optick,optic
oratour,orator
orchestre,orchester
organick,organic
ossifick,ossific
ostentatour,ostentator
otacoustick,otacoustic
overlabour,overlabor
pacifick,pacific
packcloath,packcloth
palatick,palatic
pancreatick,pancreatic
pandemick,pandemic
panegyrick,panegyric
panick,panic
pannick,pannic
parabolick,parabolic
paracentrick,paracentric
parallactick,parallactic
paralytick,paralytic
parasitick,parasitic
paregorick,paregoric
parlour,parlor
pathetick,pathetic
pathognomonick,pathognomonic
patronise,patronize
patronymick,patronymic
pentastick,pentastic
peptick,peptic
peristaltick,peristaltic
perturbatour,perturbator
petrifick,petrific
phantastick,phantastic
pharmaceutick,pharmaceutic
philippick,philippic
phlegmatick,phlegmatic
phonocamptick,phonocamptic
phrentick,phrentic
phthisick,phthisic
physick,physic
physiognomonick,physiognomonic
pickaxe,pickax
pitilesly,pitilessly
pitilesness,pitilessness
plastick,plastic
plethorick,plethoric
pleuritick,pleuritic
pneumatick,pneumatic
poetick,poetic
polemick,polemic
politick,politic
polyacoustick,polyacoustic
possessour,possessor
postick,postic
practick,practic
practise,practize
presentifick,presentific
prismatick,prismatic
procatarctick,procatarctic
prognostick,prognostic
prophylactick,prophylactic
prosaick,prosaic
protatick,protatic
proveable,provable
publick,public
pulick,pulic
pulmonick,pulmonic
quadratick,quadratic
rackoon,racoon
rancour,rancor
ransome,ransom
razourable,razorable
recklesness,recklessness
recognise,recognize
reconcileable,reconcilable
regardlesly,regardlessly
regardlesness,regardlessness
relick,relic
republick,republic
restlesly,restlessly
rhetorick,rhetoric
rheumatick,rheumatic
rhombick,rhombic
rigour,rigor
romantick,romantic
rubifick,rubific
rubrick,rubric
rumour,rumor
rustick,rustic
ruthlesly,ruthlessly
sackcloath,sackcloth
sacrifick,sacrific
saick,saic
saleable,salable
saleably,salably
sanctuarise,sanctuarize
saporifick,saporific
sarcastick,sarcastic
sarcotick,sarcotic
satanick,satanic
satirick,satiric
saviour,savior
savour,savor
scenick,scenic
sceptick,sceptic
sceptre,scepter
schismatick,schismatic
scholastick,scholastic
sciatherick,sciatheric
sciatick,sciatic
scientifick,scientific
sclerotick,sclerotic
scorbutick,scorbutic
searcloath,searcloth
seignorise,seignorize
selenographick,selenographic
seminifick,seminific
sepulchre,sepulcher
seraphick,seraphic
sheriffwick,sheriffwic
siccifick,siccific
simoniack,simoniac
sizeable,sizable
skeptical,sceptical
skepticism,scepticism
skeptick,sceptic
skilful,skillful
skirre,skirr
skycolour,skycolor
smegmatick,smegmatic
somnifick,somnific
sonorifick,sonorific
soporifick,soporific
spagyrick,spagyric
spasmodick,spasmodic
specifick,specific
specktacle,spectacle
spectre,specter
spermatick,spermatic
spherick,spheric
splendour,splendor
splenetick,splenetic
splenick,splenic
statick,static
stegnotick,stegnotic
stentorophonick,stentorophonic
stigmatick,stigmatic
stoick,stoic
stomachick,stomachic
styptick,styptic
successour,successor
succour,succor
sudorifick,sudorific
superiour,superior
sycophantick,sycophantic
sycophantise,sycophantize
syllabick,syllabic
syllogistick,syllogistic
sympathetick,sympathetic
symposiack,symposiac
symptomatick,symptomatic
synodick,synodic
synonomise,synonomize
synthetick,synthetic
tabour,tabor
tactick,tactic
talismanick,talismanic
tameable,tamable
tectonick,tectonic
tenour,tenor
terrifick,terrific
terrour,terror
tetrastick,tetrastic
theoremick,theoremic
theorick,theoric
therapeutick,therapeutic
thoracick,thoracic
tisick,tisic
titheable,tithable
topick,topic
tragick,tragic
traumatick,traumatic
tremour,tremor
tropick,tropic
tumour,tumor
tunick,tunic
turmerick,turmeric
turquoise,turquoize
tyrannick,tyrannic
tyrannise,tyrannize
tyre,tyer
unclassick,unclassic
uncloath,uncloth
unfavourably,unfavorably
unharbour,unharbor
unmoveable,unmovable
unpoetick,unpoetic
unprolifick,unprolific
unpublick,unpublic
unrebukeable,unrebukable
unreconcileable,unreconcilable
unremoveable,unremovable
unremoveably,unremovably
unreproveable,unreprovable
unromantick,unromantic
unscholastick,unscholastic
unshakeable,unshakable
untameable,untamable
valour,valor
vapour,vapor
vavasour,vavasor
venatick,venatic
verdigrise,verdigrize
vertebre,verteber
vigour,vigor
villatick,villatic
vivifick,vivific
warriour,warrior
wilful,willful
zetetick,zetetic
zodiack,zodiac
